COD_ZONA,MODO_PRINCIPAL,QTD
47,Metrô,2718.2822006147926
47,Trem,471.37145418158786
47,Ônibus,6033.45918402355
47,Transporte fretado,0
47,Transporte escolar,200.43456133216043
47,Dirigindo automóvel,12045.84384945425
47,Passageiro de automóvel,4124.740116608567
47,Táxi convencional,0
47,Táxi não convencional,371.97922752434835
47,Dirigindo moto,1728.3173558348067
47,Passageiro de moto,0
47,Bicicleta,452.1885800713199
47,A pé,15188.548395031374
47,Outros,107.11836164105182
48,Metrô,3110.34697310894
48,Trem,1000.4646689673685
48,Ônibus,11635.723335922667
48,Transporte fretado,0
48,Transporte escolar,2794.1226428354557
48,Dirigindo automóvel,12158.366562007901
48,Passageiro de automóvel,5517.973636284195
48,Táxi convencional,247.31502055052124
48,Táxi não convencional,76.60684906239912
48,Dirigindo moto,1120.43478940075
48,Passageiro de moto,0
48,Bicicleta,514.1018263976756
48,A pé,10859.455541547813
48,Outros,126.223526558201
49,Metrô,24108.476570559906
49,Trem,0
49,Ônibus,6474.953971567183
49,Transporte fretado,0
49,Transporte escolar,1088.005701520233
49,Dirigindo automóvel,11015.121186088729
49,Passageiro de automóvel,1720.751396857923
49,Táxi convencional,253.19515841288796
49,Táxi não convencional,974.4832890928245
49,Dirigindo moto,1201.2207366387963
49,Passageiro de moto,0
49,Bicicleta,282.73528926875764
49,A pé,13080.426707076738
49,Outros,0
50,Metrô,1676.066395254313
50,Trem,0
50,Ônibus,2627.334994788667
50,Transporte fretado,62.48285754122202
50,Transporte escolar,377.3514526764128
50,Dirigindo automóvel,5569.166766773998
50,Passageiro de automóvel,1998.3260367624034
50,Táxi convencional,354.81139258751693
50,Táxi não convencional,421.7608920833736
50,Dirigindo moto,393.09169433938854
50,Passageiro de moto,97.44782707885228
50,Bicicleta,286.16976095767075
50,A pé,2786.61312259962
50,Outros,151.37066962821316
51,Metrô,6546.763334138971
51,Trem,0
51,Ônibus,3130.68183253628
51,Transporte fretado,0
51,Transporte escolar,1119.4776478001884
51,Dirigindo automóvel,9468.935288864293
51,Passageiro de automóvel,2536.3386331966867
51,Táxi convencional,178.47856379692342
51,Táxi não convencional,103.82361255561248
51,Dirigindo moto,807.6033992244912
51,Passageiro de moto,0
51,Bicicleta,125.88944978225382
51,A pé,5942.033251718386
51,Outros,0
52,Metrô,14715.045160607871
52,Trem,0
52,Ônibus,9875.869590387343
52,Transporte fretado,0
52,Transporte escolar,451.5067032138246
52,Dirigindo automóvel,7538.9924990466025
52,Passageiro de automóvel,1507.6572183228793
52,Táxi convencional,74.61146245617537
52,Táxi não convencional,180.38460668183765
52,Dirigindo moto,626.8958155169415
52,Passageiro de moto,0
52,Bicicleta,0
52,A pé,7004.622941476732
52,Outros,0
53,Metrô,28011.848203279205
53,Trem,0
53,Ônibus,5780.172534795015
53,Transporte fretado,0
53,Transporte escolar,1117.728285296816
53,Dirigindo automóvel,11605.928537259986
53,Passageiro de automóvel,5166.2662540267675
53,Táxi convencional,217.00374612333314
53,Táxi não convencional,920.3230752652009
53,Dirigindo moto,2155.30470284736
53,Passageiro de moto,0
53,Bicicleta,460.41187096965984
53,A pé,10343.20641999399
53,Outros,0
54,Metrô,23667.157871629235
54,Trem,32.02941384614474
54,Ônibus,17136.369164209147
54,Transporte fretado,0
54,Transporte escolar,310.73166895111024
54,Dirigindo automóvel,15507.376097484084
54,Passageiro de automóvel,7604.628536220655
54,Táxi convencional,837.0223430008394
54,Táxi não convencional,2272.7667877591994
54,Dirigindo moto,1292.1095372655054
54,Passageiro de moto,0
54,Bicicleta,936.6912166465489
54,A pé,20191.013640011934
54,Outros,110.26615381017339
55,Metrô,14863.639534145006
55,Trem,0
55,Ônibus,5840.580558204606
55,Transporte fretado,35.98290256083297
55,Transporte escolar,79.62877670685579
55,Dirigindo automóvel,13080.746505125175
55,Passageiro de automóvel,4781.444716820151
55,Táxi convencional,1077.0220360274368
55,Táxi não convencional,588.3511966630812
55,Dirigindo moto,2489.226394420608
55,Passageiro de moto,659.1190183780914
55,Bicicleta,320.2982987196767
55,A pé,6444.621288431858
55,Outros,204.89546921433006
56,Metrô,23551.209634155948
56,Trem,0
56,Ônibus,6968.98949798731
56,Transporte fretado,147.9985985026185
56,Transporte escolar,1700.4780696124008
56,Dirigindo automóvel,13324.7929264771
56,Passageiro de automóvel,5231.792598347685
56,Táxi convencional,1067.6012083707456
56,Táxi não convencional,2342.7830203673275
56,Dirigindo moto,1372.0748260398002
56,Passageiro de moto,1083.2686632900695
56,Bicicleta,910.4475875221952
56,A pé,19041.383664541005
56,Outros,110.06840223069617
57,Metrô,27230.134627405692
57,Trem,0
