COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
48,Dirigindo moto,1120.43478940075
48,Passageiro de moto,0
48,Bicicleta,514.101826397676
48,A pé,11262.4208170066
48,Outros,126.223526558201
49,Metrô,24076.0848980924
49,Trem,100.110063168151
49,Ônibus,6813.89979386623
49,Transporte fretado,0
49,Transporte escolar,1088.00570152023
49,Dirigindo automóvel,11015.1211860887
49,Passageiro de automóvel,1975.40784289327
49,Táxi convencional,307.69764524613
49,Táxi não convencional,1009.08130444852
49,Dirigindo moto,1201.2207366388
49,Passageiro de moto,59.1628442648252
49,Bicicleta,282.735289268758
49,A pé,12898.3498973326
49,Outros,0
50,Metrô,1746.32760543933
50,Trem,0
50,Ônibus,2642.89897521489
50,Transporte fretado,62.482857541222
50,Transporte escolar,377.351452676413
50,Dirigindo automóvel,5569.166766774
50,Passageiro de automóvel,2228.70575227055
50,Táxi convencional,197.587369382694
50,Táxi não convencional,439.70934654427
50,Dirigindo moto,393.091694339389
50,Passageiro de moto,97.4478270788523
50,Bicicleta,286.169760957671
50,A pé,2696.45769946844
50,Outros,151.370669628213
51,Metrô,6572.34981412906
51,Trem,0
51,Ônibus,2225.66339095325
51,Transporte fretado,0
51,Transporte escolar,969.875651685126
51,Dirigindo automóvel,9468.93528886429
51,Passageiro de automóvel,3390.61576046281
51,Táxi convencional,178.478563796923
51,Táxi não convencional,0
51,Dirigindo moto,807.603399224491
51,Passageiro de moto,0
51,Bicicleta,125.889449782254
51,A pé,6147.45310259647
51,Outros,0
52,Metrô,14770.5028748509
52,Trem,0
52,Ônibus,9267.57852580273
52,Transporte fretado,0
52,Transporte escolar,531.973663300488
52,Dirigindo automóvel,7364.12238544994
52,Passageiro de automóvel,1595.3986562941
52,Táxi convencional,74.6114624561754
52,Táxi não convencional,552.16218833778
52,Dirigindo moto,626.895815516942
52,Passageiro de moto,59.2173152599243
52,Bicicleta,0
52,A pé,6109.77029211327
52,Outros,0
53,Metrô,27546.555685013
53,Trem,0
53,Ônibus,7177.91630072603
53,Transporte fretado,0
53,Transporte escolar,1117.72828529682
53,Dirigindo automóvel,12204.8413781055
53,Passageiro de automóvel,4817.95490119507
53,Táxi convencional,182.057453978782
53,Táxi não convencional,1359.44330498393
53,Dirigindo moto,2155.30470284736
53,Passageiro de moto,0
53,Bicicleta,168.166454537281
53,A pé,10250.5543817556
53,Outros,0
54,Metrô,24355.4324050624
54,Trem,0
54,Ônibus,17043.7535821177
54,Transporte fretado,0
54,Transporte escolar,689.459097176069
54,Dirigindo automóvel,15856.4013030897
54,Passageiro de automóvel,6379.13763639016
54,Táxi convencional,1181.11851373541
54,Táxi não convencional,2155.26479469592
54,Dirigindo moto,1292.10953726551
54,Passageiro de moto,0
54,Bicicleta,1228.93663307893
54,A pé,21279.3272734298
54,Outros,110.266153810173
55,Metrô,15447.2434070382
55,Trem,0
55,Ônibus,6253.18562405647
55,Transporte fretado,0
55,Transporte escolar,79.6287767068558
55,Dirigindo automóvel,13248.8865897361
55,Passageiro de automóvel,4255.79370378983
55,Táxi convencional,387.811480424271
55,Táxi não convencional,1785.94890358052
55,Dirigindo moto,2489.22639442061
55,Passageiro de moto,599.956174113266
55,Bicicleta,320.298298719677
55,A pé,6113.509712357
55,Outros,204.89546921433
56,Metrô,20964.4318735133
56,Trem,0
56,Ônibus,9744.39613656474
56,Transporte fretado,183.981501063451
56,Transporte escolar,1635.86205880607
56,Dirigindo automóvel,13675.2585480253
56,Passageiro de automóvel,6831.79768150498
56,Táxi convencional,615.194625232958
56,Táxi não convencional,1429.6150902191
56,Dirigindo moto,1372.0748260398
56,Passageiro de moto,1024.05134803015
56,Bicicleta,910.447587522195
56,A pé,18829.8910076203
56,Outros,110.068402230696
57,Metrô,25185.7282204807
57,Trem,0
57,Ônibus,16777.3805680015
57,Transporte fretado,0
57,Transporte escolar,1999.31669715028
57,Dirigindo automóvel,21169.4843869663
57,Passageiro de automóvel,8879.84659363731
57,Táxi convencional,2169.98040451919
57,Táxi não convencional,1987.98772710432
57,Dirigindo moto,2330.06622236691
57,Passageiro de moto,958.125437782649
57,Bicicleta,917.804225239123
57,A pé,28782.0475414312
57,Outros,168.140084610939
58,Metrô,19551.5404232664
58,Trem,0
58,Ônibus,7714.00390573605
58,Transporte fretado,298.135397973268
58,Transporte escolar,589.649595781654
58,Dirigindo automóvel,9262.69973605653
58,Passageiro de automóvel,2571.58457735576
58,Táxi convencional,122.306850167072
58,Táxi não convencional,895.332479498366
58,Dirigindo moto,1269.81935775273
58,Passageiro de moto,0
58,Bicicleta,145.017124267875
58,A pé,13141.8968698101
58,Outros,0
59,Metrô,46351.5117111494
59,Trem,0
59,Ônibus,20361.2499177362
59,Transporte fretado,0
59,Transporte escolar,3943.13620956442
59,Dirigindo automóvel,25804.8238607793
59,Passageiro de automóvel,13460.2156063909
59,Táxi convencional,348.768605991282
59,Táxi não convencional,1372.16312109388
59,Dirigindo moto,2207.97577408274
59,Passageiro de moto,0
59,Bicicleta,2637.87360618967
59,A pé,47916.3017832938
59,Outros,591.046454546297
60,Metrô,11204.9409608694
60,Trem,126.055388593048
60,Ônibus,9677.79785685367
60,Transporte fretado,0
60,Transporte escolar,1456.34693852724
60,Dirigindo automóvel,23570.7808810863
60,Passageiro de automóvel,9239.41163785882
60,Táxi convencional,259.114809960237
60,Táxi não convencional,455.420720086511
60,Dirigindo moto,2506.89456424355
60,Passageiro de moto,0
60,Bicicleta,971.460257700697
60,A pé,8849.68953572324
60,Outros,0
61,Metrô,17016.3382236754
61,Trem,0
61,Ônibus,12928.4120991372
61,Transporte fretado,414.737528719562
61,Transporte escolar,1761.64175218996
61,Dirigindo automóvel,16105.6835159451
61,Passageiro de automóvel,7616.74623241338
61,Táxi convencional,414.737528719562
61,Táxi não convencional,848.544514079268
61,Dirigindo moto,1145.54774785027
61,Passageiro de moto,0
61,Bicicleta,298.238299708146
61,A pé,17561.8298218448
61,Outros,0
62,Metrô,7304.00152046049
62,Trem,394.495370951265
62,Ônibus,15980.9686081054
62,Transporte fretado,0
