COD_ZONA,ENDERECO_EMPREGOS,QTD
173,Empregos na Própria Residência,592.789070639423
173,Empregos Sem Endereço Fixo(**),1303.5527935824173
174,Empregos em Endereço Fixo(*),4607.999497875382
174,Empregos na Própria Residência,2160.136442318713
174,Empregos Sem Endereço Fixo(**),3337.8347156286527
175,Empregos em Endereço Fixo(*),3911.0216415704645
175,Empregos na Própria Residência,2670.4011132761907
175,Empregos Sem Endereço Fixo(**),3493.792517
176,Empregos em Endereço Fixo(*),6398.058225925739
176,Empregos na Própria Residência,8968.149277307484
176,Empregos Sem Endereço Fixo(**),3311.127769387576
177,Empregos em Endereço Fixo(*),740.7835399367677
177,Empregos na Própria Residência,261.2927096644571
177,Empregos Sem Endereço Fixo(**),892.3804074502814
178,Empregos em Endereço Fixo(*),1288.6441311551255
178,Empregos na Própria Residência,0
178,Empregos Sem Endereço Fixo(**),0
179,Empregos em Endereço Fixo(*),0
179,Empregos na Própria Residência,0
179,Empregos Sem Endereço Fixo(**),0
180,Empregos em Endereço Fixo(*),7932.203102562662
180,Empregos na Própria Residência,3380.2113413522275
180,Empregos Sem Endereço Fixo(**),3132.7346527706673
181,Empregos em Endereço Fixo(*),9494.509065728173
181,Empregos na Própria Residência,1862.2260909159015
181,Empregos Sem Endereço Fixo(**),1362.0448449194791
182,Empregos em Endereço Fixo(*),9664.197493656542
182,Empregos na Própria Residência,5461.040239769198
