COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
70,Condução Lotada,0
70,Atividade Física,201.89798864076
70,Outros Motivos,0
71,Pequena Distância,12586.242213000987
71,Condução Cara,131.16193343417478
71,Ponto/ Estação Distante,0
71,Condução Demora para Passar,0
71,Viagem Demorada,0
71,Condução Lotada,0
71,Atividade Física,641.7793665171462
71,Outros Motivos,0
72,Pequena Distância,12355.12227953342
72,Condução Cara,0
72,Ponto/ Estação Distante,0
72,Condução Demora para Passar,0
72,Viagem Demorada,0
72,Condução Lotada,0
72,Atividade Física,0
72,Outros Motivos,0
73,Pequena Distância,56452.05773912242
73,Condução Cara,0
73,Ponto/ Estação Distante,0
73,Condução Demora para Passar,115.16923055543721
73,Viagem Demorada,79.79987319613592
73,Condução Lotada,34.72133421484067
73,Atividade Física,543.0810882127423
73,Outros Motivos,0
74,Pequena Distância,18658.044579265254
74,Condução Cara,574.4046529334319
74,Ponto/ Estação Distante,0
74,Condução Demora para Passar,0
74,Viagem Demorada,0
74,Condução Lotada,0
74,Atividade Física,797.0737419833721
74,Outros Motivos,380.7342390966709
75,Pequena Distância,10935.833585535273
75,Condução Cara,0
75,Ponto/ Estação Distante,0
75,Condução Demora para Passar,203.07288149770608
75,Viagem Demorada,0
75,Condução Lotada,0
75,Atividade Física,235.66145954330537
75,Outros Motivos,203.07288149770608
76,Pequena Distância,9769.058160388206
76,Condução Cara,142.69667241579242
76,Ponto/ Estação Distante,0
76,Condução Demora para Passar,0
76,Viagem Demorada,0
76,Condução Lotada,0
76,Atividade Física,414.24405713439904
76,Outros Motivos,0
77,Pequena Distância,18463.178694230155
77,Condução Cara,0
77,Ponto/ Estação Distante,0
77,Condução Demora para Passar,0
77,Viagem Demorada,0
77,Condução Lotada,0
77,Atividade Física,1452.1270176125727
77,Outros Motivos,237.0075436401959
78,Pequena Distância,13306.910570061318
78,Condução Cara,0
78,Ponto/ Estação Distante,0
78,Condução Demora para Passar,0
78,Viagem Demorada,0
78,Condução Lotada,0
78,Atividade Física,265.7961633139949
78,Outros Motivos,0
79,Pequena Distância,27061.61601367345
79,Condução Cara,0
79,Ponto/ Estação Distante,0
79,Condução Demora para Passar,0
79,Viagem Demorada,0
79,Condução Lotada,0
79,Atividade Física,751.4345850721865
79,Outros Motivos,0
80,Pequena Distância,22322.47780347168
80,Condução Cara,0
80,Ponto/ Estação Distante,0
80,Condução Demora para Passar,0
80,Viagem Demorada,0
80,Condução Lotada,0
80,Atividade Física,305.3582103446073
80,Outros Motivos,27.315976034543386
81,Pequena Distância,17025.251834570336
81,Condução Cara,0
81,Ponto/ Estação Distante,0
81,Condução Demora para Passar,0
81,Viagem Demorada,0
81,Condução Lotada,0
81,Atividade Física,659.7644665480598
81,Outros Motivos,79.79987319613592
82,Pequena Distância,30380.977047253964
82,Condução Cara,102.01508833029902
82,Ponto/ Estação Distante,0
82,Condução Demora para Passar,0
82,Viagem Demorada,0
82,Condução Lotada,0
82,Atividade Física,528.6264259183947
82,Outros Motivos,0
83,Pequena Distância,19808.399413436513
83,Condução Cara,138.70295866601077
83,Ponto/ Estação Distante,0
83,Condução Demora para Passar,0
83,Viagem Demorada,0
83,Condução Lotada,0
83,Atividade Física,901.8033053884501
83,Outros Motivos,102.01508833029902
84,Pequena Distância,12193.244717289317
84,Condução Cara,428.4240316081885
84,Ponto/ Estação Distante,0
84,Condução Demora para Passar,338.80126513847546
84,Viagem Demorada,0
84,Condução Lotada,0
84,Atividade Física,301.4920450851449
84,Outros Motivos,101.55805598569174
85,Pequena Distância,3998.039365347205
85,Condução Cara,0
85,Ponto/ Estação Distante,0
85,Condução Demora para Passar,0
85,Viagem Demorada,0
85,Condução Lotada,0
85,Atividade Física,62.786312652062854
85,Outros Motivos,0
86,Pequena Distância,1451.510196515963
86,Condução Cara,0
86,Ponto/ Estação Distante,0
86,Condução Demora para Passar,17.780715190540576
86,Viagem Demorada,0
86,Condução Lotada,0
86,Atividade Física,219.62741844030586
86,Outros Motivos,0
87,Pequena Distância,6862.991285595663
87,Condução Cara,0
87,Ponto/ Estação Distante,0
87,Condução Demora para Passar,0
87,Viagem Demorada,0
87,Condução Lotada,0
87,Atividade Física,625.9017392202512
87,Outros Motivos,50.77902799284587
88,Pequena Distância,28328.041652708784
88,Condução Cara,223.6233502878161
88,Ponto/ Estação Distante,115.10934168723021
88,Condução Demora para Passar,0
88,Viagem Demorada,0
88,Condução Lotada,0
88,Atividade Física,2035.682343728694
88,Outros Motivos,79.21097268168892
89,Pequena Distância,1931.6017346737874
89,Condução Cara,223.6233502878161
89,Ponto/ Estação Distante,148.91153870084688
89,Condução Demora para Passar,0
89,Viagem Demorada,0
89,Condução Lotada,0
89,Atividade Física,273.27958190702475
89,Outros Motivos,0
90,Pequena Distância,8157.251894206477
90,Condução Cara,0
90,Ponto/ Estação Distante,61.525915323659895
90,Condução Demora para Passar,61.65374660908329
90,Viagem Demorada,0
90,Condução Lotada,0
90,Atividade Física,951.3409425337979
90,Outros Motivos,50.77902799284587
91,Pequena Distância,4916.41314954564
91,Condução Cara,0
91,Ponto/ Estação Distante,0
91,Condução Demora para Passar,0
91,Viagem Demorada,0
91,Condução Lotada,0
91,Atividade Física,0
91,Outros Motivos,0
92,Pequena Distância,8675.92072438893
92,Condução Cara,0
92,Ponto/ Estação Distante,0
92,Condução Demora para Passar,0
92,Viagem Demorada,0
92,Condução Lotada,0
92,Atividade Física,15.789487048405547
92,Outros Motivos,0
93,Pequena Distância,12466.988147531683
93,Condução Cara,601.2960230127266
93,Ponto/ Estação Distante,0
93,Condução Demora para Passar,0
93,Viagem Demorada,0
93,Condução Lotada,0
93,Atividade Física,275.02700866541846
93,Outros Motivos,0
94,Pequena Distância,11989.869361468584
94,Condução Cara,81.36167266506209
94,Ponto/ Estação Distante,0
94,Condução Demora para Passar,61.65374660908329
94,Viagem Demorada,61.65374660908329
94,Condução Lotada,0
94,Atividade Física,668.8509753563667
94,Outros Motivos,0
95,Pequena Distância,8101.4598072600775
95,Condução Cara,566.6408178913007
95,Ponto/ Estação Distante,0
95,Condução Demora para Passar,0
95,Viagem Demorada,0
95,Condução Lotada,0
95,Atividade Física,0
95,Outros Motivos,0
96,Pequena Distância,3209.407927826855
96,Condução Cara,464.6257295610016
96,Ponto/ Estação Distante,0
96,Condução Demora para Passar,0
96,Viagem Demorada,0
96,Condução Lotada,0
96,Atividade Física,0
96,Outros Motivos,0
97,Pequena Distância,6045.570469741784
97,Condução Cara,0
97,Ponto/ Estação Distante,0
97,Condução Demora para Passar,0
97,Viagem Demorada,0
97,Condução Lotada,0
97,Atividade Física,447.9961099407219
97,Outros Motivos,0
98,Pequena Distância,958.1067897620452
98,Condução Cara,0
98,Ponto/ Estação Distante,321.6777291678848
98,Condução Demora para Passar,53.04731507621524
98,Viagem Demorada,0
98,Condução Lotada,0
98,Atividade Física,0
98,Outros Motivos,120.58975634165641
99,Pequena Distância,3745.068194550023
99,Condução Cara,57.563253065012674
99,Ponto/ Estação Distante,0
99,Condução Demora para Passar,0
99,Viagem Demorada,61.65374660908329
99,Condução Lotada,0
